employee_key,employee_code,full_name,role,hire_date,exit_date,employment_status,tenure_band,is_new_hire_in_period,current_team_id,manager_code,country_code,department_code
1,MGR-01,Saud Al-Shehri,Sales Manager,2019-10-24,,Active,4y+,0,T01,,EG,ENT
2,MGR-02,Walid Al-Zahrani,Sales Manager,2018-09-23,,Active,4y+,0,T02,,EG,SME
3,MGR-03,Ahmed Kamal,Sales Manager,2016-05-13,,Active,4y+,0,T03,,EG,CHN
4,MGR-04,Reem Rizk,Sales Manager,2021-06-13,,Active,4y+,0,T04,,SA,ENT
5,MGR-05,Ibrahim Rizk,Sales Manager,2019-06-07,,Active,4y+,0,T05,,SA,SME
6,MGR-06,Omar Al-Shehri,Sales Manager,2018-08-30,,Active,4y+,0,T06,,AE,ENT
7,MGR-07,Mariam Saleh,Sales Manager,2018-02-03,,Active,4y+,0,T07,,AE,CHN
8,MGR-08,Sherif Al-Qahtani,Sales Manager,2018-06-12,,Active,4y+,0,T08,,OM,SME
9,REP-001,Majid Taha,Sales Representative,2019-06-05,,Active,4y+,0,T02,MGR-02,EG,SME
10,REP-002,Khaled Al-Otaibi,Sales Representative,2022-05-14,,Active,2-4y,0,T01,MGR-01,EG,ENT
11,REP-003,Nour Zaki,Sales Representative,2021-07-22,,Active,4y+,0,T01,MGR-01,EG,ENT
12,REP-004,Faisal Al-Nuaimi,Sales Representative,2023-07-12,,Active,2-4y,0,T01,MGR-01,EG,ENT
13,REP-005,Ahmed Wahba,Sales Representative,2021-01-22,,Active,4y+,0,T01,MGR-01,EG,ENT
14,REP-006,Abdullah Nasr,Sales Representative,2018-07-08,,Active,4y+,0,T01,MGR-01,EG,ENT
15,REP-007,Hamad Al-Ketbi,Sales Representative,2023-07-16,,Active,2-4y,0,T01,MGR-01,EG,ENT
16,REP-008,Laila Gamal,Sales Representative,2022-06-06,,Active,2-4y,0,T01,MGR-01,EG,ENT
17,REP-009,Rami Naguib,Sales Representative,2021-08-26,,Active,4y+,0,T01,MGR-01,EG,ENT
18,REP-010,Yasmin Al-Harbi,Sales Representative,2021-04-26,,Active,4y+,0,T02,MGR-02,EG,SME
19,REP-011,Sara Al-Mazrouei,Sales Representative,2022-09-24,,Active,2-4y,0,T02,MGR-02,EG,SME
20,REP-012,Samir Wahba,Sales Representative,2018-12-25,2024-09-21,Exited,4y+,0,T02,MGR-02,EG,SME
21,REP-013,Maha Al-Mutairi,Sales Representative,2022-11-30,,Active,2-4y,0,T02,MGR-02,EG,SME
22,REP-014,Hassan Gamal,Sales Representative,2018-04-05,2024-09-26,Exited,4y+,0,T02,MGR-02,EG,SME
23,REP-015,Mohamed Shawky,Sales Representative,2019-02-06,,Active,4y+,0,T02,MGR-02,EG,SME
24,REP-016,Walid Farouk,Sales Representative,2022-10-31,,Active,2-4y,0,T02,MGR-02,EG,SME
25,REP-017,Tarek Al-Nuaimi,Sales Representative,2021-05-07,,Active,4y+,0,T02,MGR-02,EG,SME
26,REP-018,Samir Adly,Sales Representative,2022-08-30,,Active,2-4y,0,T02,MGR-02,EG,SME
27,REP-019,Bilal Nasr,Sales Representative,2020-07-21,,Active,4y+,0,T02,MGR-02,EG,SME
28,REP-020,Majid Khoury,Sales Representative,2021-06-23,,Active,4y+,0,T02,MGR-02,EG,SME
29,REP-021,Ahmed Al-Mazrouei,Sales Representative,2018-11-05,2025-06-26,Exited,4y+,0,T03,MGR-03,EG,CHN
30,REP-022,Aisha Barakat,Sales Representative,2020-01-05,2025-03-17,Exited,4y+,0,T03,MGR-03,EG,CHN
31,REP-023,Fahad Shawky,Sales Representative,2023-05-01,,Active,2-4y,0,T03,MGR-03,EG,CHN
32,REP-024,Amr Al-Mazrouei,Sales Representative,2018-06-12,,Active,4y+,0,T03,MGR-03,EG,CHN
33,REP-025,Walid Khoury,Sales Representative,2021-10-31,,Active,4y+,0,T03,MGR-03,EG,CHN
34,REP-026,Faisal Barakat,Sales Representative,2020-04-28,2025-09-27,Exited,4y+,0,T03,MGR-03,EG,CHN
35,REP-027,Fahad Al-Nuaimi,Sales Representative,2018-01-16,,Active,4y+,0,T03,MGR-03,EG,CHN
36,REP-028,Khaled Shawky,Sales Representative,2021-03-07,,Active,4y+,0,T04,MGR-04,SA,ENT
37,REP-029,Noura Al-Suwaidi,Sales Representative,2022-06-01,,Active,2-4y,0,T04,MGR-04,SA,ENT
38,REP-030,Ali Al-Hinai,Sales Representative,2019-05-11,2024-02-18,Exited,4y+,0,T04,MGR-04,SA,ENT
39,REP-031,Lama Hamdy,Sales Representative,2018-06-05,,Active,4y+,0,T04,MGR-04,SA,ENT
40,REP-032,Rami Al-Mutairi,Sales Representative,2022-02-22,,Active,2-4y,0,T04,MGR-04,SA,ENT
41,REP-033,Sara Al-Dosari,Sales Representative,2018-10-27,,Active,4y+,0,T04,MGR-04,SA,ENT
