employee_code,full_name,team_name,month_key,target,actual,achievement,robust_z,anomaly_type,month_end_share,tier_name,commission,revenue_quality_flag
REP-036,Sultan Al-Maamari,KSA Enterprise,202401,102502.4,234831.17,2.290982162368881,7.878749539442632,Spike,0.182,T3 Accelerator,2306.304,
REP-022,Aisha Barakat,Egypt Channel,202408,41528.8,81220.19,1.9557557646741537,5.825232753101348,Spike,0.09,T3 Accelerator,934.398,
REP-009,Rami Naguib,Egypt Enterprise,202412,87734.4,308435.73,3.51556208283182,5.386486644133967,Spike,0.096,T3 Accelerator,1974.024,
REP-051,Faisal Al-Dosari,UAE Enterprise,202404,123760.0,464158.6,3.750473497091144,5.3317561065887045,Spike,0.053,T3 Accelerator,2784.6,
REP-034,Aisha Osman,KSA Enterprise,202407,110656.0,257884.55,2.330506705465587,4.855233796145578,Spike,0.252,T3 Accelerator,2489.76,
REP-024,Amr Al-Mazrouei,Egypt Channel,202407,42883.0,154695.92,3.607395005013642,4.669798366986766,Spike,0.304,T3 Accelerator,964.8675,
REP-087,Adel Haddad,Egypt Channel,202509,51911.0,75639.77,1.4571048525360717,4.48587728923876,Spike,0.352,T3 Accelerator,1167.9975,
REP-034,Aisha Osman,KSA Enterprise,202410,121139.2,262803.19,2.1694314474587912,4.440059454997743,Spike,0.664,T3 Accelerator,2725.632,Spike concentrated in month-end window
REP-007,Hamad Al-Ketbi,Egypt Enterprise,202401,67724.8,122870.37,1.8142596212908717,4.012547186089915,Spike,0.466,T3 Accelerator,1523.8080000000002,
REP-067,Nasser Naguib,Oman SME,202410,44928.0,109283.4,2.432411858974359,3.8294571728465367,Spike,0.277,T3 Accelerator,1010.88,
REP-013,Maha Al-Mutairi,Egypt SME,202405,39960.0,69943.52,1.7503383383383384,3.792672875309919,Spike,0.218,T3 Accelerator,899.1,
REP-092,Reem Al-Ketbi,UAE Channel,202511,90156.78,140280.49,1.555961625958691,3.7531645608851356,Spike,0.157,T3 Accelerator,2028.52755,
REP-063,Aisha Al-Mazrouei,UAE Channel,202406,75493.6,193720.87,2.5660568577998664,3.666980967890423,Spike,0.047,T3 Accelerator,1698.606,
REP-017,Tarek Al-Nuaimi,Egypt SME,202412,45554.4,106985.39,2.348519352686019,3.6367208615640756,Spike,0.314,T3 Accelerator,1024.9740000000002,
REP-019,Bilal Nasr,Egypt SME,202503,45954.0,102062.21,2.2209646603124864,3.633300774251086,Spike,0.207,T3 Accelerator,1033.965,
REP-034,Aisha Osman,KSA Enterprise,202505,133952.0,247113.29,1.8447898500955568,3.603289966236316,Spike,0.593,T3 Accelerator,3013.92,Spike concentrated in month-end window
REP-034,Aisha Osman,KSA Enterprise,202504,133952.0,245308.56,1.831316889632107,3.5685631711161894,Spike,0.618,T3 Accelerator,3013.92,Spike concentrated in month-end window
REP-036,Sultan Al-Maamari,KSA Enterprise,202405,116480.0,46286.12,0.3973739697802198,-3.8247029654173654,Drop,0.0,T0 Below Gate,0.0,
REP-086,Mahmoud Zaki,UAE Channel,202509,83478.5,18028.8,0.2159693813377097,-3.936208003874014,Drop,0.0,T0 Below Gate,0.0,
REP-077,Saud Fathy,Egypt SME,202510,47792.16,29099.1,0.608867646911125,-4.0156035204617755,Drop,0.312,T0 Below Gate,0.0,
REP-083,Fahad Al-Harbi,UAE Channel,202509,83478.5,3583.02,0.0429214707978701,-4.445495385488261,Drop,0.563,T0 Below Gate,0.0,
REP-084,Walid Rizk,Oman SME,202508,45705.6,34503.17,0.7549002748022124,-4.880141801751541,Drop,0.355,T0 Below Gate,0.0,
REP-077,Saud Fathy,Egypt SME,202505,45954.0,26799.17,0.583173825999913,-4.888323330360386,Drop,0.093,T0 Below Gate,0.0,
REP-091,Huda Naguib,UAE Enterprise,202511,153709.92,46862.09,0.3048735566318686,-4.931535981511817,Drop,0.387,T0 Below Gate,0.0,
